Agency,Complaint_Type,Location_Type,Incident_Zip,Borough,Vehicle_Type,duration_[days],Created_Date_hour,Created_Date_month,Created_Date_dayofweek,Descriptor_encoded,Weisse,Afroamerikaner,Asiaten,Hispanics
8,10,16,190,3,5,0.04,0,4,2,3,0.441,0.2,0.176,0.25
8,6,20,212,3,0,1.13,13,12,4,18,0.441,0.2,0.176,0.25
4,16,11,135,3,5,0.73,14,1,5,38,0.441,0.2,0.176,0.25
8,10,16,197,3,5,0.11,1,9,6,27,0.441,0.2,0.176,0.25
8,6,20,177,1,5,0.02,12,11,0,4,0.412,0.364,0.075,0.198
8,10,16,98,4,5,0.02,1,2,6,3,0.776,0.097,0.057,0.121
8,1,20,197,3,5,0.15,22,2,2,36,0.441,0.2,0.176,0.25
8,10,16,119,0,5,6.155,7,2,4,27,0.299,0.356,0.03,0.484
8,11,20,35,2,5,0.01,18,6,5,27,0.544,0.174,0.094,0.272
8,9,18,110,0,5,0.26,21,11,1,12,0.299,0.356,0.03,0.484
8,10,16,119,0,5,0.6,0,7,0,27,0.299,0.356,0.03,0.484
5,4,17,208,3,5,0.69,19,7,1,45,0.441,0.2,0.176,0.25
4,17,11,45,2,5,0.15,0,3,3,50,0.544,0.174,0.094,0.272
8,0,20,173,1,5,0.04,16,3,2,49,0.412,0.364,0.075,0.198
8,6,20,184,3,5,0.08,18,9,1,35,0.441,0.2,0.176,0.25
0,13,11,175,1,5,0.06,8,11,5,42,0.412,0.364,0.075,0.198
8,9,6,169,1,5,0.02,20,6,6,27,0.412,0.364,0.075,0.198
7,19,15,33,2,5,2.36,9,6,2,41,0.544,0.174,0.094,0.272
7,5,15,106,0,5,1.7,23,11,6,0,0.299,0.356,0.03,0.484
7,18,15,30,2,5,6.155,14,2,0,29,0.544,0.174,0.094,0.272
8,6,20,219,3,5,0.06,4,3,4,6,0.441,0.2,0.176,0.25
0,8,11,38,2,5,6.155,15,4,0,50,0.544,0.174,0.094,0.272
7,13,15,109,0,5,6.155,12,2,4,22,0.299,0.356,0.03,0.484
7,14,15,116,0,5,2.07,11,2,3,10,0.299,0.356,0.03,0.484
7,5,15,109,0,5,0.18,16,7,2,0,0.299,0.356,0.03,0.484
7,5,15,104,0,5,1.49,21,2,2,20,0.299,0.356,0.03,0.484
5,3,19,115,0,5,0.57,9,7,3,16,0.299,0.356,0.03,0.484
8,6,20,190,3,5,0.06,3,12,0,13,0.441,0.2,0.176,0.25
5,3,19,165,1,5,1.79,1,8,0,16,0.412,0.364,0.075,0.198
8,1,20,169,1,5,0.08,16,11,3,30,0.412,0.364,0.075,0.198
4,16,19,15,2,5,0.07,23,10,4,50,0.544,0.174,0.094,0.272
7,15,15,34,2,5,6.155,10,11,3,1,0.544,0.174,0.094,0.272
7,14,15,18,2,5,6.155,12,2,0,46,0.544,0.174,0.094,0.272
8,6,20,23,2,5,0.03,18,7,5,4,0.544,0.174,0.094,0.272
2,13,11,135,3,5,6.155,3,1,5,50,0.441,0.2,0.176,0.25
8,6,20,170,1,2,0.02,9,2,0,19,0.412,0.364,0.075,0.198
4,13,11,139,3,5,6.155,13,2,3,50,0.441,0.2,0.176,0.25
0,20,11,209,3,5,0.0,10,1,0,50,0.441,0.2,0.176,0.25
8,6,20,174,1,5,0.01,5,2,5,6,0.412,0.364,0.075,0.198
7,13,15,208,3,5,6.155,15,11,0,50,0.441,0.2,0.176,0.25
8,12,20,121,0,0,0.06,23,8,4,12,0.299,0.356,0.03,0.484
7,13,15,153,1,5,6.155,21,1,2,22,0.412,0.364,0.075,0.198
5,4,17,9,2,5,4.89,11,4,4,45,0.544,0.174,0.094,0.272
7,14,15,126,0,5,6.155,17,2,4,46,0.299,0.356,0.03,0.484
8,10,16,173,1,5,0.03,21,1,0,3,0.412,0.364,0.075,0.198
8,11,20,28,2,5,0.0,3,8,5,27,0.544,0.174,0.094,0.272
0,8,11,26,2,5,6.155,1,5,1,31,0.544,0.174,0.094,0.272
8,6,20,174,1,5,0.02,14,11,0,6,0.412,0.364,0.075,0.198
0,20,11,99,4,5,0.21,15,9,3,50,0.776,0.097,0.057,0.121
7,5,15,218,3,5,1.25,6,12,1,20,0.441,0.2,0.176,0.25
7,5,15,39,2,5,1.09,7,3,2,20,0.544,0.174,0.094,0.272
8,1,20,125,0,5,0.03,19,3,4,30,0.299,0.356,0.03,0.484
2,13,11,221,3,5,6.155,21,6,0,50,0.441,0.2,0.176,0.25
7,2,15,169,1,5,6.155,14,11,2,48,0.412,0.364,0.075,0.198
8,6,20,197,3,5,0.02,19,9,5,37,0.441,0.2,0.176,0.25
8,6,20,118,0,5,0.06,23,12,0,6,0.299,0.356,0.03,0.484
8,6,20,186,3,5,0.06,20,5,5,6,0.441,0.2,0.176,0.25
5,7,19,222,3,5,2.02,12,10,6,50,0.441,0.2,0.176,0.25
4,17,11,125,0,5,0.06,14,5,1,50,0.299,0.356,0.03,0.484
8,1,20,218,3,5,0.05,9,5,2,30,0.441,0.2,0.176,0.25
8,11,20,113,0,5,0.05,20,11,4,27,0.299,0.356,0.03,0.484
4,17,11,153,1,5,2.55,11,7,5,50,0.412,0.364,0.075,0.198
8,10,16,119,0,5,0.0,10,12,6,27,0.299,0.356,0.03,0.484
8,10,16,115,0,5,0.13,19,2,2,27,0.299,0.356,0.03,0.484
7,13,15,225,3,5,0.93,12,10,2,50,0.441,0.2,0.176,0.25
8,10,16,109,0,5,0.01,1,3,5,3,0.299,0.356,0.03,0.484
8,10,16,163,1,5,0.05,9,10,0,27,0.412,0.364,0.075,0.198
7,5,15,25,2,5,1.11,18,2,0,20,0.544,0.174,0.094,0.272
8,12,20,94,4,1,0.05,23,5,2,12,0.776,0.097,0.057,0.121
8,12,20,206,3,5,0.07,23,3,1,11,0.441,0.2,0.176,0.25
8,1,20,147,1,5,0.01,21,10,0,30,0.412,0.364,0.075,0.198
7,5,15,39,2,5,0.86,22,11,0,20,0.544,0.174,0.094,0.272
1,13,20,18,2,5,0.53,19,8,0,50,0.544,0.174,0.094,0.272
8,6,20,198,3,5,0.08,22,5,6,13,0.441,0.2,0.176,0.25
5,4,17,109,0,5,1.64,11,4,3,45,0.299,0.356,0.03,0.484
6,13,4,22,2,5,6.155,14,1,0,32,0.544,0.174,0.094,0.272
4,16,11,29,2,5,5.73,14,6,1,38,0.544,0.174,0.094,0.272
8,10,16,172,1,5,0.01,0,7,5,27,0.412,0.364,0.075,0.198
0,8,11,187,3,5,1.0,9,4,0,50,0.441,0.2,0.176,0.25
8,10,16,119,0,5,0.02,19,9,6,27,0.299,0.356,0.03,0.484
0,20,11,231,3,5,0.01,13,12,2,50,0.441,0.2,0.176,0.25
7,15,15,227,3,5,6.09,14,7,0,44,0.441,0.2,0.176,0.25
7,5,15,116,0,5,0.88,15,3,6,20,0.299,0.356,0.03,0.484
8,9,18,235,3,5,0.11,8,3,6,3,0.441,0.2,0.176,0.25
7,5,15,30,2,5,0.9,13,12,6,20,0.544,0.174,0.094,0.272
8,6,20,110,0,5,0.05,7,1,3,34,0.299,0.356,0.03,0.484
7,2,15,120,0,5,6.155,17,5,1,48,0.299,0.356,0.03,0.484
5,3,19,109,0,5,0.34,12,3,4,16,0.299,0.356,0.03,0.484
8,1,20,111,0,5,0.13,7,2,3,30,0.299,0.356,0.03,0.484
8,6,20,9,2,5,0.0,22,12,0,4,0.544,0.174,0.094,0.272
8,10,16,174,1,5,0.01,1,1,3,3,0.412,0.364,0.075,0.198
8,6,20,207,3,5,0.05,8,8,1,37,0.441,0.2,0.176,0.25
8,10,16,172,1,5,0.01,18,11,0,3,0.412,0.364,0.075,0.198
8,9,18,160,1,5,0.0,0,10,0,27,0.412,0.364,0.075,0.198
8,1,20,144,1,5,0.01,20,6,2,30,0.412,0.364,0.075,0.198
7,13,15,39,2,5,6.155,12,12,2,50,0.544,0.174,0.094,0.272
8,10,16,161,1,5,0.01,13,3,6,28,0.412,0.364,0.075,0.198
8,6,20,205,3,5,0.03,18,7,3,4,0.441,0.2,0.176,0.25
0,20,11,136,3,5,0.43,9,7,6,25,0.441,0.2,0.176,0.25
8,1,20,174,1,5,0.3,18,11,4,30,0.412,0.364,0.075,0.198
7,18,15,155,1,5,6.155,16,7,3,33,0.412,0.364,0.075,0.198
7,18,15,27,2,5,6.155,16,12,2,23,0.544,0.174,0.094,0.272
7,5,15,111,0,5,3.07,16,12,5,0,0.299,0.356,0.03,0.484
8,1,20,149,1,5,0.04,7,4,4,30,0.412,0.364,0.075,0.198
7,5,15,153,1,5,0.66,22,11,2,20,0.412,0.364,0.075,0.198
8,1,20,146,1,5,0.06,16,11,1,30,0.412,0.364,0.075,0.198
4,17,11,2,2,5,0.04,8,9,3,14,0.544,0.174,0.094,0.272
8,0,20,143,1,5,0.01,6,5,0,49,0.412,0.364,0.075,0.198
8,9,18,33,2,5,0.23,11,12,2,27,0.544,0.174,0.094,0.272
8,1,20,198,3,5,0.3,14,12,1,30,0.441,0.2,0.176,0.25
8,11,20,15,2,5,0.01,16,2,5,27,0.544,0.174,0.094,0.272
7,5,15,30,2,5,1.58,19,3,6,0,0.544,0.174,0.094,0.272
7,5,15,168,1,5,0.98,14,2,6,20,0.412,0.364,0.075,0.198
0,20,11,146,1,5,0.46,16,8,0,25,0.412,0.364,0.075,0.198
8,6,20,149,1,5,0.03,11,10,6,6,0.412,0.364,0.075,0.198
8,0,20,181,1,4,0.15,21,11,2,49,0.412,0.364,0.075,0.198
8,6,20,187,3,5,0.03,21,4,3,13,0.441,0.2,0.176,0.25
8,11,20,104,0,5,0.02,1,12,5,27,0.299,0.356,0.03,0.484
5,13,17,153,1,5,6.155,9,6,2,40,0.412,0.364,0.075,0.198
8,10,16,208,3,5,0.02,21,9,4,27,0.441,0.2,0.176,0.25
8,10,16,119,0,5,0.1,11,10,1,27,0.299,0.356,0.03,0.484
8,11,20,106,0,5,0.01,22,9,5,27,0.299,0.356,0.03,0.484
7,15,15,146,1,5,1.9,18,10,6,1,0.412,0.364,0.075,0.198
7,18,15,120,0,5,6.155,13,11,2,29,0.299,0.356,0.03,0.484
8,11,20,31,2,5,0.01,20,6,3,27,0.544,0.174,0.094,0.272
8,6,20,177,1,5,0.14,18,11,1,19,0.412,0.364,0.075,0.198
8,11,20,106,0,5,0.01,20,1,5,27,0.299,0.356,0.03,0.484
8,0,20,45,2,4,0.03,17,3,0,49,0.544,0.174,0.094,0.272
8,12,20,183,3,5,0.0,21,6,6,12,0.441,0.2,0.176,0.25
8,1,20,175,1,5,0.01,13,11,5,30,0.412,0.364,0.075,0.198
8,10,16,183,3,5,0.22,21,9,2,3,0.441,0.2,0.176,0.25
8,6,20,155,1,5,0.02,8,4,1,4,0.412,0.364,0.075,0.198
7,13,15,168,1,5,6.155,13,5,2,50,0.412,0.364,0.075,0.198
8,6,20,17,2,5,0.03,13,1,3,37,0.544,0.174,0.094,0.272
8,11,20,108,0,5,0.73,12,11,1,28,0.299,0.356,0.03,0.484
4,16,11,230,3,5,1.75,14,10,0,38,0.441,0.2,0.176,0.25
7,5,15,39,2,5,4.63,23,12,5,20,0.544,0.174,0.094,0.272
7,5,15,202,3,5,0.62,23,12,2,0,0.441,0.2,0.176,0.25
8,1,20,158,1,5,0.02,9,7,0,36,0.412,0.364,0.075,0.198
3,13,2,121,0,5,3.34,0,11,5,39,0.299,0.356,0.03,0.484
7,14,15,110,0,5,1.03,8,1,2,10,0.299,0.356,0.03,0.484
0,20,11,210,3,5,0.16,9,9,2,50,0.441,0.2,0.176,0.25
8,6,20,167,1,5,0.02,6,3,0,6,0.412,0.364,0.075,0.198
7,13,15,230,3,5,6.155,9,12,3,22,0.441,0.2,0.176,0.25
7,5,15,126,0,5,1.43,7,2,4,20,0.299,0.356,0.03,0.484
0,20,11,174,1,5,0.0,17,3,6,50,0.412,0.364,0.075,0.198
8,10,16,29,2,5,0.02,9,11,4,27,0.544,0.174,0.094,0.272
8,6,20,18,2,5,0.02,11,8,1,7,0.544,0.174,0.094,0.272
8,10,16,166,1,5,0.0,22,6,6,27,0.412,0.364,0.075,0.198
7,19,15,32,2,5,6.155,17,9,1,41,0.544,0.174,0.094,0.272
8,10,16,120,0,5,0.1,2,10,0,27,0.299,0.356,0.03,0.484
7,19,15,105,0,5,6.155,12,11,4,41,0.299,0.356,0.03,0.484
5,4,17,175,1,5,6.06,8,6,4,45,0.412,0.364,0.075,0.198
7,5,15,232,3,5,1.07,17,6,0,20,0.441,0.2,0.176,0.25
8,10,16,146,1,5,0.03,15,3,4,50,0.412,0.364,0.075,0.198
7,18,15,156,1,5,6.155,10,11,4,29,0.412,0.364,0.075,0.198
8,6,20,187,3,5,0.01,0,4,2,37,0.441,0.2,0.176,0.25
7,18,15,30,2,5,6.155,11,9,0,33,0.544,0.174,0.094,0.272
8,10,16,166,1,5,0.04,10,6,4,3,0.412,0.364,0.075,0.198
0,8,11,37,2,5,1.13,15,4,2,31,0.544,0.174,0.094,0.272
8,11,20,230,3,5,0.02,1,7,1,27,0.441,0.2,0.176,0.25
8,1,20,170,1,5,0.04,19,10,1,30,0.412,0.364,0.075,0.198
2,13,11,109,0,5,0.17,20,1,0,50,0.299,0.356,0.03,0.484
8,10,16,171,1,5,0.03,17,9,1,3,0.412,0.364,0.075,0.198
8,1,20,178,1,5,0.01,10,11,0,36,0.412,0.364,0.075,0.198
7,2,15,218,3,5,5.16,16,1,6,15,0.441,0.2,0.176,0.25
7,15,15,165,1,5,6.155,16,2,3,50,0.412,0.364,0.075,0.198
3,13,2,162,1,5,0.0,14,8,6,50,0.412,0.364,0.075,0.198
8,10,16,116,0,5,0.07,20,9,0,3,0.299,0.356,0.03,0.484
8,9,6,177,1,5,0.12,22,4,3,28,0.412,0.364,0.075,0.198
8,10,16,176,1,5,0.05,23,3,6,27,0.412,0.364,0.075,0.198
5,3,19,162,1,5,3.66,8,10,4,16,0.412,0.364,0.075,0.198
8,1,20,205,3,5,0.01,10,3,5,30,0.441,0.2,0.176,0.25
8,6,20,235,3,5,0.03,16,4,1,7,0.441,0.2,0.176,0.25
8,1,20,108,0,5,0.02,18,7,5,30,0.299,0.356,0.03,0.484
7,19,15,29,2,5,6.155,10,9,4,24,0.544,0.174,0.094,0.272
8,10,16,227,3,5,0.13,0,7,4,3,0.441,0.2,0.176,0.25
4,13,11,139,3,5,4.11,7,4,5,43,0.441,0.2,0.176,0.25
8,6,20,118,0,0,0.15,1,4,1,18,0.299,0.356,0.03,0.484
8,6,20,145,1,5,0.03,19,8,6,7,0.412,0.364,0.075,0.198
8,6,20,31,2,5,0.03,11,10,1,37,0.544,0.174,0.094,0.272
0,20,11,31,2,5,0.03,18,7,0,26,0.544,0.174,0.094,0.272
8,6,20,106,0,5,0.04,6,8,4,19,0.299,0.356,0.03,0.484
8,6,20,123,0,5,0.3,19,7,2,37,0.299,0.356,0.03,0.484
2,13,11,174,1,5,1.31,16,2,0,50,0.412,0.364,0.075,0.198
8,10,16,152,1,5,0.02,2,1,4,28,0.412,0.364,0.075,0.198
4,16,11,162,1,5,0.89,14,9,4,38,0.412,0.364,0.075,0.198
0,8,11,158,1,5,6.155,7,6,4,50,0.412,0.364,0.075,0.198
8,10,16,106,0,5,0.02,2,9,5,27,0.299,0.356,0.03,0.484
4,17,11,146,1,5,0.12,13,9,0,14,0.412,0.364,0.075,0.198
8,11,20,124,0,5,0.02,3,11,6,28,0.299,0.356,0.03,0.484
5,4,17,208,3,5,0.91,8,11,4,45,0.441,0.2,0.176,0.25
8,10,16,31,2,5,0.03,20,7,2,3,0.544,0.174,0.094,0.272
8,6,20,31,2,5,0.01,20,2,4,6,0.544,0.174,0.094,0.272
8,6,20,106,0,5,0.02,8,1,0,34,0.299,0.356,0.03,0.484
7,5,15,147,1,5,1.25,12,4,1,0,0.412,0.364,0.075,0.198
8,0,20,169,1,5,0.35,18,6,4,49,0.412,0.364,0.075,0.198
8,12,20,149,1,5,0.01,8,12,3,11,0.412,0.364,0.075,0.198
8,6,20,167,1,5,0.02,12,5,6,35,0.412,0.364,0.075,0.198
8,12,20,3,2,5,0.02,23,4,1,12,0.544,0.174,0.094,0.272
8,6,20,229,3,5,0.14,6,4,1,6,0.441,0.2,0.176,0.25
8,10,16,39,2,5,0.07,23,12,6,27,0.544,0.174,0.094,0.272
8,6,20,32,2,5,0.06,19,5,3,6,0.544,0.174,0.094,0.272
7,5,15,202,3,5,0.9,21,11,2,20,0.441,0.2,0.176,0.25
7,13,15,30,2,5,6.0,18,10,2,9,0.544,0.174,0.094,0.272
0,13,11,125,0,5,0.13,21,12,1,50,0.299,0.356,0.03,0.484
8,11,20,91,4,5,0.05,15,7,3,27,0.776,0.097,0.057,0.121
8,11,20,147,1,5,0.06,23,7,4,27,0.412,0.364,0.075,0.198
7,13,15,147,1,5,6.155,8,2,3,22,0.412,0.364,0.075,0.198
7,15,15,104,0,5,6.155,13,9,2,2,0.299,0.356,0.03,0.484
8,11,20,207,3,5,0.01,0,7,0,27,0.441,0.2,0.176,0.25
8,11,20,26,2,5,0.02,22,11,2,27,0.544,0.174,0.094,0.272
1,13,20,106,0,5,6.155,21,8,0,50,0.299,0.356,0.03,0.484
7,14,15,39,2,5,1.96,15,4,0,46,0.544,0.174,0.094,0.272
8,0,20,208,3,0,0.53,15,8,4,49,0.441,0.2,0.176,0.25
8,10,16,4,2,5,0.24,17,1,0,3,0.544,0.174,0.094,0.272
8,9,6,154,1,5,0.02,22,12,1,27,0.412,0.364,0.075,0.198
7,5,15,119,0,5,3.02,15,12,6,0,0.299,0.356,0.03,0.484
8,6,20,205,3,5,0.08,12,12,6,7,0.441,0.2,0.176,0.25
8,10,16,166,1,5,0.02,7,6,1,3,0.412,0.364,0.075,0.198
8,6,20,160,1,5,0.02,17,9,6,6,0.412,0.364,0.075,0.198
4,13,11,142,1,5,2.38,12,7,5,50,0.412,0.364,0.075,0.198
5,4,23,113,0,5,0.04,10,11,0,45,0.299,0.356,0.03,0.484
7,5,15,38,2,5,0.94,19,3,4,20,0.544,0.174,0.094,0.272
6,13,4,22,2,5,6.155,18,3,4,32,0.544,0.174,0.094,0.272
0,20,11,105,0,5,6.155,15,4,4,50,0.299,0.356,0.03,0.484
8,1,20,105,0,5,0.01,13,2,2,30,0.299,0.356,0.03,0.484
5,3,19,218,3,5,0.7,13,5,6,16,0.441,0.2,0.176,0.25
8,1,20,197,3,5,0.13,14,3,3,36,0.441,0.2,0.176,0.25
7,14,15,116,2,5,4.3,12,11,0,46,0.544,0.174,0.094,0.272
8,6,20,170,1,5,0.05,19,4,2,6,0.412,0.364,0.075,0.198
5,13,17,26,2,5,6.155,11,8,6,40,0.544,0.174,0.094,0.272
8,10,16,144,1,5,0.06,23,2,6,27,0.412,0.364,0.075,0.198
4,17,11,213,3,5,0.08,10,1,2,14,0.441,0.2,0.176,0.25
4,16,19,210,3,5,4.94,11,10,4,50,0.441,0.2,0.176,0.25
7,5,15,25,2,5,1.18,12,11,4,0,0.544,0.174,0.094,0.272
7,5,15,148,1,5,0.2,11,1,1,0,0.412,0.364,0.075,0.198
8,10,16,32,2,5,0.01,3,11,6,27,0.544,0.174,0.094,0.272
8,12,20,161,1,5,0.09,12,4,3,12,0.412,0.364,0.075,0.198
4,13,11,155,1,5,6.155,19,10,1,43,0.412,0.364,0.075,0.198
4,13,11,191,3,5,1.75,20,10,5,43,0.441,0.2,0.176,0.25
8,6,20,142,1,5,0.21,16,10,5,37,0.412,0.364,0.075,0.198
8,6,20,198,3,5,0.24,23,4,5,13,0.441,0.2,0.176,0.25
0,13,11,150,1,5,0.73,18,4,6,50,0.412,0.364,0.075,0.198
7,15,15,166,1,5,0.93,15,11,0,2,0.412,0.364,0.075,0.198
7,14,15,15,2,5,3.87,22,7,5,50,0.544,0.174,0.094,0.272
8,12,20,104,0,1,0.03,1,9,0,12,0.299,0.356,0.03,0.484
8,6,20,121,0,5,0.02,6,12,2,37,0.299,0.356,0.03,0.484
7,13,15,153,1,5,6.155,10,4,6,22,0.412,0.364,0.075,0.198
5,13,17,146,1,5,1.03,10,4,1,40,0.412,0.364,0.075,0.198
8,10,16,5,2,5,0.02,22,9,0,27,0.544,0.174,0.094,0.272
3,13,2,176,1,5,0.01,11,1,2,39,0.412,0.364,0.075,0.198
8,10,16,110,0,5,0.02,3,6,3,27,0.299,0.356,0.03,0.484
8,6,20,175,1,5,0.02,6,7,0,6,0.412,0.364,0.075,0.198
8,1,20,161,1,5,0.0,0,10,5,30,0.412,0.364,0.075,0.198
8,10,16,177,1,5,0.05,18,3,1,27,0.412,0.364,0.075,0.198
8,10,16,161,1,5,0.04,23,10,4,27,0.412,0.364,0.075,0.198
8,6,20,145,1,5,0.02,6,8,5,37,0.412,0.364,0.075,0.198
8,6,20,183,3,5,0.03,22,4,1,13,0.441,0.2,0.176,0.25
8,6,20,215,3,5,0.05,7,3,4,5,0.441,0.2,0.176,0.25
8,6,20,186,3,5,0.1,14,9,1,37,0.441,0.2,0.176,0.25
7,5,15,110,0,5,1.33,10,2,2,0,0.299,0.356,0.03,0.484
8,6,20,37,2,5,0.02,11,10,4,5,0.544,0.174,0.094,0.272
2,13,11,120,0,5,0.38,14,5,3,50,0.299,0.356,0.03,0.484
8,1,20,135,3,5,0.08,8,6,3,36,0.441,0.2,0.176,0.25
7,2,15,115,0,5,6.155,16,10,2,48,0.299,0.356,0.03,0.484
5,13,19,114,0,5,0.61,15,7,4,40,0.299,0.356,0.03,0.484
