Agency,Complaint_Type,Location_Type,Incident_Zip,Borough,Vehicle_Type,duration_[days],Created_Date_hour,Created_Date_month,Created_Date_dayofweek,Descriptor_encoded,Weisse,Afroamerikaner,Asiaten,Hispanics
7,13,15,116,0,5,5.81,12,11,2,50,0.299,0.356,0.03,0.484
8,10,16,119,0,5,0.0,22,6,6,27,0.299,0.356,0.03,0.484
8,12,20,218,3,0,0.08,17,8,4,12,0.441,0.2,0.176,0.25
8,6,20,148,1,5,0.13,7,2,6,6,0.412,0.364,0.075,0.198
8,13,16,22,2,5,0.05,11,2,6,50,0.544,0.174,0.094,0.272
7,5,15,33,2,5,4.74,23,1,4,0,0.544,0.174,0.094,0.272
7,15,15,111,0,5,6.155,9,2,6,50,0.299,0.356,0.03,0.484
7,5,15,120,0,5,0.31,8,12,6,20,0.299,0.356,0.03,0.484
5,3,19,128,0,5,6.155,9,10,3,16,0.299,0.356,0.03,0.484
8,6,20,178,1,5,0.1,20,6,0,37,0.412,0.364,0.075,0.198
8,11,20,146,1,5,0.01,18,6,4,27,0.412,0.364,0.075,0.198
8,0,20,136,3,5,0.11,12,8,0,49,0.441,0.2,0.176,0.25
4,17,11,32,2,5,0.06,19,1,3,50,0.544,0.174,0.094,0.272
7,5,15,172,1,5,2.14,15,7,1,20,0.412,0.364,0.075,0.198
8,1,20,18,2,5,0.02,6,6,0,30,0.544,0.174,0.094,0.272
0,20,11,125,0,5,6.155,8,9,4,17,0.299,0.356,0.03,0.484
8,9,6,17,2,5,0.02,1,4,1,27,0.544,0.174,0.094,0.272
5,3,19,122,0,5,0.24,6,4,4,16,0.299,0.356,0.03,0.484
5,4,17,208,3,5,1.82,14,9,5,45,0.441,0.2,0.176,0.25
8,6,20,115,0,5,0.12,22,8,0,6,0.299,0.356,0.03,0.484
8,6,20,104,0,0,0.05,10,1,1,19,0.299,0.356,0.03,0.484
4,17,11,205,3,5,0.05,8,12,3,14,0.441,0.2,0.176,0.25
8,10,16,111,0,5,0.04,11,7,0,28,0.299,0.356,0.03,0.484
8,11,20,121,0,5,0.02,1,7,3,27,0.299,0.356,0.03,0.484
8,6,20,112,0,5,0.18,8,11,2,18,0.299,0.356,0.03,0.484
4,16,19,197,3,5,4.1,12,4,4,50,0.441,0.2,0.176,0.25
8,11,20,26,2,5,0.02,0,10,4,27,0.544,0.174,0.094,0.272
7,18,15,161,1,5,1.23,10,9,3,29,0.412,0.364,0.075,0.198
8,6,20,197,3,5,0.08,17,6,0,34,0.441,0.2,0.176,0.25
5,13,17,142,1,5,2.66,21,10,2,40,0.412,0.364,0.075,0.198
4,16,11,145,1,5,6.155,23,5,6,38,0.412,0.364,0.075,0.198
8,10,16,109,0,5,0.01,22,8,4,27,0.299,0.356,0.03,0.484
6,13,4,212,3,5,6.155,16,11,0,32,0.441,0.2,0.176,0.25
7,19,15,201,3,5,6.155,15,3,0,41,0.441,0.2,0.176,0.25
0,20,11,169,1,5,0.0,11,3,4,25,0.412,0.364,0.075,0.198
8,10,16,199,3,5,0.02,0,7,6,27,0.441,0.2,0.176,0.25
6,13,4,22,2,5,6.155,22,2,0,32,0.544,0.174,0.094,0.272
8,0,20,174,1,5,0.13,8,10,1,49,0.412,0.364,0.075,0.198
8,1,20,149,1,5,0.03,8,2,4,36,0.412,0.364,0.075,0.198
8,10,16,163,1,5,0.03,0,6,6,27,0.412,0.364,0.075,0.198
7,5,15,177,1,5,4.87,19,1,4,20,0.412,0.364,0.075,0.198
0,20,11,198,3,5,0.73,17,3,5,25,0.441,0.2,0.176,0.25
8,10,16,119,0,5,0.02,20,7,1,27,0.299,0.356,0.03,0.484
2,13,11,183,3,5,6.155,16,6,2,50,0.441,0.2,0.176,0.25
8,6,20,210,3,5,0.02,11,12,3,6,0.441,0.2,0.176,0.25
8,6,20,213,3,5,0.19,23,6,1,6,0.441,0.2,0.176,0.25
8,11,20,30,2,5,0.07,21,6,5,27,0.544,0.174,0.094,0.272
8,11,20,146,1,5,0.02,20,5,3,28,0.412,0.364,0.075,0.198
8,11,20,147,1,5,0.07,21,9,0,27,0.412,0.364,0.075,0.198
7,5,15,202,3,5,0.64,18,1,6,20,0.441,0.2,0.176,0.25
8,6,20,119,0,5,0.03,8,1,5,6,0.299,0.356,0.03,0.484
8,6,20,142,1,5,0.01,11,9,2,4,0.412,0.364,0.075,0.198
8,10,16,119,0,5,0.71,23,9,5,27,0.299,0.356,0.03,0.484
8,1,20,217,3,5,0.0,22,6,2,36,0.441,0.2,0.176,0.25
8,11,20,109,0,5,0.02,22,7,6,27,0.299,0.356,0.03,0.484
8,10,16,135,3,5,0.01,18,5,3,27,0.441,0.2,0.176,0.25
8,10,16,212,3,5,0.11,1,9,1,27,0.441,0.2,0.176,0.25
5,13,17,91,4,5,2.2,11,6,0,40,0.776,0.097,0.057,0.121
8,10,16,108,0,5,0.03,23,10,2,3,0.299,0.356,0.03,0.484
8,10,16,119,0,5,0.04,16,9,5,27,0.299,0.356,0.03,0.484
7,15,15,167,1,5,6.155,9,12,0,1,0.412,0.364,0.075,0.198
7,5,15,31,2,5,3.07,18,2,1,20,0.544,0.174,0.094,0.272
8,0,20,183,3,2,0.01,13,11,3,49,0.441,0.2,0.176,0.25
7,15,15,29,2,5,4.94,17,9,4,1,0.544,0.174,0.094,0.272
8,11,20,104,0,5,0.0,21,10,5,28,0.299,0.356,0.03,0.484
8,11,20,151,1,5,0.05,0,8,1,27,0.412,0.364,0.075,0.198
7,5,15,177,1,5,2.02,8,1,5,20,0.412,0.364,0.075,0.198
0,8,11,110,0,5,6.155,8,5,5,50,0.299,0.356,0.03,0.484
8,13,18,9,2,5,0.03,13,3,0,50,0.544,0.174,0.094,0.272
7,18,15,38,2,5,6.155,16,12,3,33,0.544,0.174,0.094,0.272
8,12,20,11,2,5,0.01,0,10,5,12,0.544,0.174,0.094,0.272
8,6,20,219,3,5,0.06,16,11,5,13,0.441,0.2,0.176,0.25
0,8,11,32,2,5,1.27,9,4,1,50,0.544,0.174,0.094,0.272
4,17,11,155,1,5,0.48,15,11,5,50,0.412,0.364,0.075,0.198
5,7,19,138,3,5,1.14,8,12,2,45,0.441,0.2,0.176,0.25
8,10,16,35,2,5,0.04,9,2,4,50,0.544,0.174,0.094,0.272
8,9,6,208,3,5,0.04,22,9,2,3,0.441,0.2,0.176,0.25
8,10,16,154,1,5,0.04,16,8,6,3,0.412,0.364,0.075,0.198
7,5,15,147,1,5,4.09,15,4,3,20,0.412,0.364,0.075,0.198
7,2,15,30,2,5,6.155,16,8,1,50,0.544,0.174,0.094,0.272
7,5,15,161,1,5,2.02,18,12,5,20,0.412,0.364,0.075,0.198
8,6,20,120,0,5,0.57,22,11,0,6,0.299,0.356,0.03,0.484
7,5,15,112,0,5,1.73,17,11,0,0,0.299,0.356,0.03,0.484
5,3,19,230,3,5,6.155,12,7,3,16,0.441,0.2,0.176,0.25
8,6,20,139,3,5,0.11,20,10,4,37,0.441,0.2,0.176,0.25
5,4,17,95,4,5,1.82,16,9,1,45,0.776,0.097,0.057,0.121
8,10,16,176,1,5,0.01,23,11,0,28,0.412,0.364,0.075,0.198
5,4,17,229,3,5,6.155,19,2,1,50,0.441,0.2,0.176,0.25
7,2,15,126,0,5,1.02,15,4,2,48,0.299,0.356,0.03,0.484
2,13,11,235,3,5,3.45,13,1,3,50,0.441,0.2,0.176,0.25
6,13,4,212,3,5,6.155,9,12,0,32,0.441,0.2,0.176,0.25
8,10,16,208,3,5,0.07,8,6,6,27,0.441,0.2,0.176,0.25
7,15,15,165,1,5,6.155,17,10,2,1,0.412,0.364,0.075,0.198
8,12,20,110,0,5,0.11,5,8,6,12,0.299,0.356,0.03,0.484
8,6,20,138,3,1,0.09,19,5,4,18,0.441,0.2,0.176,0.25
8,6,20,206,3,5,0.03,18,7,4,7,0.441,0.2,0.176,0.25
8,6,20,190,3,5,0.2,20,5,3,7,0.441,0.2,0.176,0.25
7,5,15,143,1,5,2.99,16,11,2,20,0.412,0.364,0.075,0.198
8,9,6,5,2,5,0.0,1,11,5,27,0.544,0.174,0.094,0.272
7,19,15,30,2,5,3.15,12,1,3,24,0.544,0.174,0.094,0.272
5,4,17,174,1,5,0.91,12,5,3,45,0.412,0.364,0.075,0.198
5,13,17,145,1,5,1.06,10,10,3,40,0.412,0.364,0.075,0.198
8,6,20,197,3,5,0.08,10,10,2,37,0.441,0.2,0.176,0.25
5,4,17,217,3,5,0.43,18,4,6,45,0.441,0.2,0.176,0.25
8,6,20,190,3,5,0.01,19,8,0,37,0.441,0.2,0.176,0.25
7,18,15,105,0,5,5.24,9,2,2,33,0.299,0.356,0.03,0.484
8,10,16,119,0,5,0.2,15,1,4,27,0.299,0.356,0.03,0.484
7,5,15,152,1,5,1.07,9,2,5,20,0.412,0.364,0.075,0.198
8,11,20,105,0,5,0.04,19,9,4,27,0.299,0.356,0.03,0.484
7,18,15,136,3,5,2.12,17,9,2,33,0.441,0.2,0.176,0.25
8,1,20,119,0,5,0.31,20,6,0,36,0.299,0.356,0.03,0.484
8,13,20,161,1,5,0.01,16,9,6,50,0.412,0.364,0.075,0.198
8,10,16,10,2,5,0.02,13,6,2,3,0.544,0.174,0.094,0.272
8,6,20,176,1,5,0.03,23,7,4,6,0.412,0.364,0.075,0.198
8,6,20,198,3,5,0.03,10,5,1,18,0.441,0.2,0.176,0.25
8,10,16,121,0,5,0.01,14,10,4,3,0.299,0.356,0.03,0.484
4,13,11,149,1,5,6.155,18,11,0,43,0.412,0.364,0.075,0.198
5,13,17,169,1,5,3.11,10,5,5,40,0.412,0.364,0.075,0.198
8,6,20,171,1,5,0.01,18,8,3,5,0.412,0.364,0.075,0.198
8,10,16,126,0,5,1.09,23,10,2,27,0.299,0.356,0.03,0.484
0,13,11,163,1,5,0.72,14,8,6,50,0.412,0.364,0.075,0.198
8,12,20,131,3,0,0.01,22,12,6,12,0.441,0.2,0.176,0.25
7,5,15,121,0,5,4.18,8,12,5,20,0.299,0.356,0.03,0.484
7,13,15,148,1,5,6.03,8,10,1,9,0.412,0.364,0.075,0.198
7,5,15,177,1,5,0.58,10,10,2,20,0.412,0.364,0.075,0.198
7,13,15,120,0,5,6.155,15,3,1,22,0.299,0.356,0.03,0.484
7,5,15,165,1,5,1.54,0,12,0,0,0.412,0.364,0.075,0.198
3,13,2,4,2,5,0.0,10,5,3,39,0.544,0.174,0.094,0.272
7,18,15,177,1,5,6.155,19,11,3,33,0.412,0.364,0.075,0.198
7,15,15,204,3,5,6.155,10,4,2,47,0.441,0.2,0.176,0.25
5,7,19,193,3,5,6.0,8,9,3,45,0.441,0.2,0.176,0.25
8,0,20,207,3,5,0.24,21,6,6,49,0.441,0.2,0.176,0.25
6,13,4,212,3,5,6.155,19,9,1,32,0.441,0.2,0.176,0.25
7,5,15,115,0,5,1.9,22,11,2,20,0.299,0.356,0.03,0.484
2,13,11,176,1,5,6.155,11,11,5,50,0.412,0.364,0.075,0.198
7,14,15,121,0,5,2.38,9,6,0,46,0.299,0.356,0.03,0.484
7,5,15,173,1,5,3.17,13,6,5,0,0.412,0.364,0.075,0.198
8,1,20,33,2,5,0.0,10,7,4,30,0.544,0.174,0.094,0.272
8,6,20,95,4,5,0.04,19,9,2,13,0.776,0.097,0.057,0.121
7,2,15,223,3,5,6.155,13,6,0,15,0.441,0.2,0.176,0.25
7,5,15,94,4,5,3.82,15,6,4,20,0.776,0.097,0.057,0.121
5,3,19,29,2,5,0.47,16,7,3,16,0.544,0.174,0.094,0.272
8,0,20,109,0,5,0.01,18,3,1,49,0.299,0.356,0.03,0.484
4,16,19,184,3,5,3.84,14,6,6,50,0.441,0.2,0.176,0.25
8,1,20,229,3,5,0.15,17,12,5,30,0.441,0.2,0.176,0.25
7,13,15,196,3,5,2.02,17,6,3,50,0.441,0.2,0.176,0.25
7,5,15,213,3,5,1.1,15,3,1,0,0.441,0.2,0.176,0.25
7,5,15,208,3,5,1.24,15,5,1,20,0.441,0.2,0.176,0.25
6,13,4,212,3,5,6.155,18,12,1,32,0.441,0.2,0.176,0.25
7,5,15,30,2,5,0.43,1,11,2,20,0.544,0.174,0.094,0.272
7,19,15,232,3,5,3.3,13,8,4,24,0.441,0.2,0.176,0.25
8,1,20,201,3,5,0.09,17,12,5,36,0.441,0.2,0.176,0.25
7,5,15,152,1,5,0.25,9,3,0,20,0.412,0.364,0.075,0.198
5,3,19,99,4,5,0.32,5,10,2,16,0.776,0.097,0.057,0.121
8,6,20,30,2,5,0.03,11,8,3,19,0.544,0.174,0.094,0.272
0,8,11,158,1,5,0.85,16,3,0,50,0.412,0.364,0.075,0.198
8,0,20,164,1,5,0.03,19,2,2,49,0.412,0.364,0.075,0.198
3,13,2,34,2,5,0.77,13,9,3,50,0.544,0.174,0.094,0.272
8,11,20,176,1,5,0.06,23,7,5,27,0.412,0.364,0.075,0.198
7,5,15,109,0,5,0.48,9,11,4,20,0.299,0.356,0.03,0.484
5,7,19,22,2,5,5.61,16,9,3,45,0.544,0.174,0.094,0.272
8,10,16,208,3,5,0.02,3,2,6,27,0.441,0.2,0.176,0.25
8,10,16,143,1,5,0.02,0,1,5,27,0.412,0.364,0.075,0.198
8,13,20,15,2,5,0.0,8,2,3,50,0.544,0.174,0.094,0.272
8,10,16,231,3,5,0.15,23,10,5,27,0.441,0.2,0.176,0.25
2,13,11,149,1,5,6.155,10,4,2,8,0.412,0.364,0.075,0.198
7,13,15,106,0,5,6.155,13,1,5,50,0.299,0.356,0.03,0.484
8,6,20,164,1,5,0.01,9,10,2,6,0.412,0.364,0.075,0.198
0,20,11,198,3,5,6.155,12,12,6,50,0.441,0.2,0.176,0.25
8,11,20,110,0,5,0.04,23,7,4,27,0.299,0.356,0.03,0.484
0,20,11,175,1,5,0.01,11,2,2,50,0.412,0.364,0.075,0.198
8,10,16,28,2,5,0.02,21,10,5,3,0.544,0.174,0.094,0.272
0,8,11,195,3,5,1.18,10,5,2,50,0.441,0.2,0.176,0.25
8,6,20,208,3,5,0.06,19,10,2,6,0.441,0.2,0.176,0.25
8,6,20,18,2,5,0.03,15,7,2,4,0.544,0.174,0.094,0.272
0,8,11,146,1,5,5.91,17,8,3,50,0.412,0.364,0.075,0.198
8,6,20,114,0,5,0.55,12,4,5,6,0.299,0.356,0.03,0.484
8,6,20,22,2,5,0.14,7,10,0,37,0.544,0.174,0.094,0.272
5,4,17,12,2,5,6.155,17,5,5,45,0.544,0.174,0.094,0.272
8,6,20,173,1,5,0.02,7,6,1,13,0.412,0.364,0.075,0.198
8,6,20,174,1,5,0.18,17,1,4,37,0.412,0.364,0.075,0.198
7,2,15,122,0,5,2.17,12,1,1,50,0.299,0.356,0.03,0.484
7,13,15,166,1,5,6.155,7,3,5,50,0.412,0.364,0.075,0.198
4,16,19,148,1,5,1.02,13,10,0,50,0.412,0.364,0.075,0.198
7,18,15,26,2,5,6.155,13,7,0,50,0.544,0.174,0.094,0.272
8,6,20,45,2,5,0.06,13,7,4,6,0.544,0.174,0.094,0.272
8,13,20,166,1,5,0.14,8,10,5,50,0.412,0.364,0.075,0.198
8,10,16,119,0,5,0.97,11,6,2,27,0.299,0.356,0.03,0.484
8,10,16,232,3,5,0.02,16,1,5,27,0.441,0.2,0.176,0.25
5,7,19,93,4,5,4.17,8,11,1,45,0.776,0.097,0.057,0.121
4,13,11,95,4,5,6.155,11,7,1,43,0.776,0.097,0.057,0.121
8,6,20,90,2,5,0.05,7,1,1,37,0.544,0.174,0.094,0.272
8,10,16,162,1,5,0.03,0,11,6,27,0.412,0.364,0.075,0.198
2,13,11,151,1,5,6.155,17,3,2,50,0.412,0.364,0.075,0.198
0,13,11,102,4,5,1.77,17,1,1,50,0.776,0.097,0.057,0.121
7,18,15,211,3,5,6.155,9,6,0,33,0.441,0.2,0.176,0.25
8,10,16,116,0,5,0.53,19,9,2,3,0.299,0.356,0.03,0.484
8,6,20,201,3,5,0.29,21,11,2,35,0.441,0.2,0.176,0.25
0,8,11,29,2,5,4.1,13,9,3,50,0.544,0.174,0.094,0.272
8,10,16,232,3,5,0.05,8,5,6,3,0.441,0.2,0.176,0.25
8,6,20,137,3,5,0.81,15,9,5,6,0.441,0.2,0.176,0.25
8,10,16,108,0,5,0.06,23,9,5,3,0.299,0.356,0.03,0.484
3,13,0,166,1,5,0.0,14,8,3,50,0.412,0.364,0.075,0.198
7,14,15,105,0,5,6.155,15,5,5,10,0.299,0.356,0.03,0.484
8,9,18,176,1,5,0.02,2,11,5,27,0.412,0.364,0.075,0.198
8,11,20,189,3,5,0.26,23,6,6,27,0.441,0.2,0.176,0.25
8,6,20,122,0,5,0.03,21,7,5,13,0.299,0.356,0.03,0.484
7,19,15,105,0,5,6.155,10,4,3,41,0.299,0.356,0.03,0.484
8,11,20,152,1,5,0.01,22,10,0,27,0.412,0.364,0.075,0.198
8,6,20,104,0,5,0.93,7,3,4,37,0.299,0.356,0.03,0.484
8,10,16,152,1,5,0.03,21,9,5,27,0.412,0.364,0.075,0.198
8,6,20,185,3,5,0.07,7,2,6,6,0.441,0.2,0.176,0.25
5,3,19,168,1,5,0.41,12,2,0,16,0.412,0.364,0.075,0.198
8,6,20,184,3,5,0.03,13,10,6,6,0.441,0.2,0.176,0.25
8,11,20,148,1,5,0.01,3,12,3,27,0.412,0.364,0.075,0.198
8,6,20,135,3,5,0.05,16,1,1,37,0.441,0.2,0.176,0.25
8,6,20,159,1,5,0.24,2,1,6,37,0.412,0.364,0.075,0.198
8,6,20,9,2,5,0.15,19,2,2,4,0.544,0.174,0.094,0.272
7,15,15,115,0,5,6.155,14,1,2,47,0.299,0.356,0.03,0.484
8,6,20,149,1,5,0.07,7,11,1,5,0.412,0.364,0.075,0.198
8,11,20,105,0,5,0.21,4,8,6,27,0.299,0.356,0.03,0.484
8,6,20,112,0,5,0.26,7,11,1,37,0.299,0.356,0.03,0.484
0,8,11,184,3,5,1.46,2,4,3,50,0.441,0.2,0.176,0.25
7,5,15,107,0,5,2.61,17,3,5,20,0.299,0.356,0.03,0.484
7,15,15,62,2,5,4.56,19,3,5,44,0.544,0.174,0.094,0.272
8,6,20,217,3,5,0.32,22,10,3,13,0.441,0.2,0.176,0.25
8,1,20,167,1,5,0.15,7,10,4,30,0.412,0.364,0.075,0.198
8,6,20,121,0,5,0.01,22,11,5,6,0.299,0.356,0.03,0.484
8,6,20,98,4,5,0.02,16,5,6,35,0.776,0.097,0.057,0.121
8,9,6,5,2,5,0.01,23,10,4,27,0.544,0.174,0.094,0.272
7,5,15,208,3,5,1.05,19,1,2,0,0.441,0.2,0.176,0.25
7,13,15,36,2,5,6.155,15,12,3,50,0.544,0.174,0.094,0.272
5,3,19,150,1,5,0.37,15,1,6,16,0.412,0.364,0.075,0.198
8,6,20,193,3,5,0.08,14,6,5,37,0.441,0.2,0.176,0.25
7,13,15,220,3,5,5.12,8,7,0,50,0.441,0.2,0.176,0.25
7,5,15,161,1,5,2.78,20,10,1,0,0.412,0.364,0.075,0.198
2,13,11,155,1,5,6.155,9,11,2,8,0.412,0.364,0.075,0.198
7,2,15,169,1,5,6.155,6,4,6,15,0.412,0.364,0.075,0.198
7,18,15,147,1,5,6.155,22,4,0,50,0.412,0.364,0.075,0.198
8,10,16,153,1,5,0.07,0,10,2,27,0.412,0.364,0.075,0.198
8,0,20,152,1,5,0.07,8,3,1,49,0.412,0.364,0.075,0.198
7,5,15,109,0,5,1.13,10,1,1,0,0.299,0.356,0.03,0.484
4,13,11,123,0,5,0.0,9,4,0,43,0.299,0.356,0.03,0.484
7,5,15,113,0,5,2.69,19,2,3,20,0.299,0.356,0.03,0.484
7,5,15,168,1,5,5.03,12,12,2,0,0.412,0.364,0.075,0.198
7,5,15,111,0,5,0.91,11,4,3,20,0.299,0.356,0.03,0.484
7,5,15,175,1,5,2.42,10,11,5,20,0.412,0.364,0.075,0.198
8,6,20,23,2,5,0.0,6,10,6,37,0.544,0.174,0.094,0.272
8,9,18,205,3,5,0.01,6,10,4,3,0.441,0.2,0.176,0.25
5,4,17,26,2,5,2.51,1,6,6,45,0.544,0.174,0.094,0.272
5,3,19,166,1,5,0.32,7,10,4,16,0.412,0.364,0.075,0.198
8,9,6,4,2,5,0.01,0,10,6,27,0.544,0.174,0.094,0.272
8,11,20,164,1,5,0.01,20,2,3,27,0.412,0.364,0.075,0.198
4,17,11,153,1,5,0.07,7,4,1,14,0.412,0.364,0.075,0.198
8,12,20,161,1,5,0.03,1,5,5,12,0.412,0.364,0.075,0.198
7,5,15,113,0,5,0.14,8,4,2,20,0.299,0.356,0.03,0.484
8,10,16,186,3,5,0.03,19,5,4,3,0.441,0.2,0.176,0.25
7,5,15,30,2,5,2.89,16,12,2,20,0.544,0.174,0.094,0.272
0,8,11,165,1,5,3.14,18,5,4,31,0.412,0.364,0.075,0.198
8,13,20,28,2,5,0.02,6,4,5,50,0.544,0.174,0.094,0.272
5,7,19,91,4,5,1.84,12,9,3,50,0.776,0.097,0.057,0.121
7,5,15,110,0,5,0.97,20,3,3,20,0.299,0.356,0.03,0.484
5,3,19,183,3,5,0.23,14,1,2,16,0.441,0.2,0.176,0.25
8,1,20,163,1,5,0.03,12,8,6,36,0.412,0.364,0.075,0.198
8,10,16,36,2,5,0.03,9,4,1,3,0.544,0.174,0.094,0.272
8,6,20,3,2,5,0.05,20,5,6,18,0.544,0.174,0.094,0.272
7,18,15,14,2,5,6.155,13,8,6,23,0.544,0.174,0.094,0.272
8,10,16,9,2,5,0.03,22,3,4,27,0.544,0.174,0.094,0.272
7,5,15,158,1,5,0.84,12,5,5,20,0.412,0.364,0.075,0.198
0,8,11,173,1,5,6.155,8,11,3,50,0.412,0.364,0.075,0.198
8,12,20,205,3,5,0.0,22,9,6,12,0.441,0.2,0.176,0.25
8,1,20,146,1,5,0.02,15,1,1,30,0.412,0.364,0.075,0.198
7,14,15,152,1,5,6.155,9,2,3,46,0.412,0.364,0.075,0.198
8,10,16,3,2,5,0.16,0,5,6,27,0.544,0.174,0.094,0.272
0,8,11,228,3,5,1.19,10,7,0,50,0.441,0.2,0.176,0.25
8,6,20,206,3,5,0.02,18,3,4,50,0.441,0.2,0.176,0.25
5,3,19,169,1,5,0.32,12,9,1,16,0.412,0.364,0.075,0.198
6,13,4,22,2,5,6.155,14,1,4,32,0.544,0.174,0.094,0.272
8,1,20,190,3,5,0.0,9,2,4,36,0.441,0.2,0.176,0.25
8,10,16,169,1,5,0.01,0,11,5,27,0.412,0.364,0.075,0.198
8,10,16,17,2,5,0.01,3,12,6,27,0.544,0.174,0.094,0.272
8,6,20,121,0,5,0.04,18,5,4,37,0.299,0.356,0.03,0.484
8,10,16,126,0,5,0.19,23,8,6,27,0.299,0.356,0.03,0.484
8,1,20,201,3,5,0.06,21,11,6,30,0.441,0.2,0.176,0.25
8,6,20,113,0,5,0.12,17,7,5,4,0.299,0.356,0.03,0.484
8,10,16,119,0,5,0.04,10,11,2,27,0.299,0.356,0.03,0.484
5,4,17,176,1,5,0.72,17,12,6,45,0.412,0.364,0.075,0.198
8,6,20,205,3,5,0.06,14,3,0,7,0.441,0.2,0.176,0.25
7,5,15,208,3,5,2.36,11,11,2,20,0.441,0.2,0.176,0.25
7,13,15,39,2,5,6.155,16,6,3,50,0.544,0.174,0.094,0.272
4,16,11,154,1,5,0.91,11,10,3,38,0.412,0.364,0.075,0.198
8,6,20,174,1,5,0.02,21,6,6,37,0.412,0.364,0.075,0.198
8,9,18,166,1,5,0.09,18,9,0,3,0.412,0.364,0.075,0.198
8,0,20,178,1,2,0.0,18,1,3,49,0.412,0.364,0.075,0.198
8,1,20,116,0,5,0.04,2,8,2,36,0.299,0.356,0.03,0.484
7,5,15,120,0,5,2.33,0,2,5,20,0.299,0.356,0.03,0.484
8,6,20,223,3,5,0.04,8,8,2,6,0.441,0.2,0.176,0.25
7,13,15,152,1,5,4.34,9,12,1,50,0.412,0.364,0.075,0.198
8,10,16,230,3,5,0.19,19,12,0,28,0.441,0.2,0.176,0.25
0,8,11,136,3,5,2.93,9,6,6,31,0.441,0.2,0.176,0.25
8,6,20,126,0,5,0.14,4,2,0,6,0.299,0.356,0.03,0.484
8,6,20,155,1,5,0.07,12,9,6,13,0.412,0.364,0.075,0.198
8,6,20,125,0,5,0.24,12,2,4,6,0.299,0.356,0.03,0.484
8,6,20,120,0,5,0.04,8,6,0,6,0.299,0.356,0.03,0.484
7,2,15,193,3,5,6.155,14,6,5,50,0.441,0.2,0.176,0.25
8,6,20,174,1,5,0.01,6,2,3,37,0.412,0.364,0.075,0.198
8,10,16,62,2,5,0.11,21,11,5,3,0.544,0.174,0.094,0.272
7,5,15,181,1,5,1.94,21,7,2,0,0.412,0.364,0.075,0.198
5,3,19,209,3,5,1.66,19,7,5,16,0.441,0.2,0.176,0.25
8,10,16,119,0,5,6.155,19,5,1,27,0.299,0.356,0.03,0.484
8,11,20,216,3,5,0.01,20,6,3,27,0.441,0.2,0.176,0.25
4,17,11,91,4,5,0.04,8,7,3,14,0.776,0.097,0.057,0.121
8,6,20,205,3,5,0.15,22,11,4,7,0.441,0.2,0.176,0.25
8,11,20,175,1,5,0.02,0,5,0,27,0.412,0.364,0.075,0.198
5,7,19,155,1,5,6.155,8,10,3,50,0.412,0.364,0.075,0.198
8,10,16,119,0,5,0.04,20,9,6,27,0.299,0.356,0.03,0.484
8,11,20,30,2,5,0.01,21,6,5,27,0.544,0.174,0.094,0.272
7,15,15,25,2,5,5.35,12,7,3,2,0.544,0.174,0.094,0.272
5,7,19,20,2,5,6.155,8,4,5,50,0.544,0.174,0.094,0.272
4,13,11,110,0,5,5.67,17,11,1,50,0.299,0.356,0.03,0.484
8,6,20,157,1,5,0.1,9,10,2,35,0.412,0.364,0.075,0.198
5,4,19,148,1,5,6.155,9,7,3,50,0.412,0.364,0.075,0.198
8,0,20,100,4,5,0.04,9,11,6,49,0.776,0.097,0.057,0.121
7,14,15,31,2,5,6.155,13,8,1,50,0.544,0.174,0.094,0.272
8,1,20,91,4,5,0.04,17,3,1,36,0.776,0.097,0.057,0.121
8,6,20,202,3,5,0.09,15,3,5,6,0.441,0.2,0.176,0.25
8,10,16,119,0,5,0.02,19,3,6,27,0.299,0.356,0.03,0.484
6,13,4,212,3,5,6.155,1,4,4,32,0.441,0.2,0.176,0.25
7,5,15,122,0,5,1.37,11,1,6,0,0.299,0.356,0.03,0.484
8,0,20,213,3,5,0.0,11,1,6,49,0.441,0.2,0.176,0.25
4,17,11,173,1,5,0.07,13,3,4,14,0.412,0.364,0.075,0.198
8,6,20,135,3,5,0.02,12,7,3,7,0.441,0.2,0.176,0.25
8,11,20,125,0,5,0.07,1,3,6,27,0.299,0.356,0.03,0.484
8,9,6,205,3,5,0.02,1,4,6,27,0.441,0.2,0.176,0.25
5,13,17,164,1,5,1.7,14,7,5,40,0.412,0.364,0.075,0.198
7,19,15,109,0,5,6.155,14,9,5,41,0.299,0.356,0.03,0.484
8,1,20,205,3,5,0.01,16,4,5,36,0.441,0.2,0.176,0.25
7,13,15,166,1,5,3.28,8,12,5,50,0.412,0.364,0.075,0.198
7,13,15,183,3,5,6.155,14,2,5,50,0.441,0.2,0.176,0.25
7,2,15,109,0,5,6.155,18,1,5,48,0.299,0.356,0.03,0.484
0,8,11,4,2,5,2.84,15,5,0,50,0.544,0.174,0.094,0.272
0,13,11,169,1,5,0.01,10,1,3,50,0.412,0.364,0.075,0.198
8,10,16,33,2,5,0.52,0,10,6,50,0.544,0.174,0.094,0.272
8,6,20,163,1,5,0.08,20,4,3,7,0.412,0.364,0.075,0.198
7,5,15,229,3,5,1.61,17,11,5,20,0.441,0.2,0.176,0.25
8,11,20,143,1,5,0.03,1,9,2,27,0.412,0.364,0.075,0.198
8,1,20,168,1,5,0.11,4,9,0,30,0.412,0.364,0.075,0.198
